id,ip,timestamp,fl_byt_s,fl_pck_s,fwd_max_pack_size,fwd_avg_packet,bck_max_pack_size,bck_avg_packet,fw_iat_std,fw_iat_min,bck_iat_std,bck_iat_min,anomaly_ae,anomaly_lstm,anomaly_ocsvm,consensus_anomaly
119,104.18.27.90,2025-04-04 10:18:28.213764,5899.997045492462,29.446265688705886,1027,297.9325842696629,87,53.186440677966104,0.05965791997620753,0.00031185150146484375,0.056182033465094317,0.002084016799926758,0,0,0,0
120,104.18.27.90,2025-04-04 10:18:33.297246,5676.253754304671,29.58346949495946,1324,311.6375,87,53.01449275362319,0.08721491625090882,0.0003719329833984375,0.09041263738879925,0.0006923675537109375,0,0,0,0
121,104.18.27.90,2025-04-04 10:18:38.360973,6200.8391108630285,32.957841073362665,563,284.2680412371134,87,53.01449275362319,0.04796501925293075,0.00033783912658691406,0.04235212992885758,0.00043511390686035156,0,0,0,0
122,104.18.27.90,2025-04-04 10:18:43.479590,6564.323112125024,35.3711180589167,751,282.8989898989899,225,63.63291139240506,0.07131905692929005,0.00031256675720214844,0.06823343636463955,0.00031185150146484375,0,0,0,0
123,104.18.27.90,2025-04-04 10:18:48.582522,1368.9242321451386,7.945004249246307,559,261.2173913043478,52,52.0,0.043604074595883294,0.0005497932434082031,0.03534775296880417,0.0006129741668701172,0,0,0,0
124,104.18.27.90,2025-04-04 10:19:03.770886,490.2837525226906,2.3838756200454974,207,84.33333333333333,1324,327.0,0.15687829853151974,0.0013229846954345703,0.1423990199615229,0.0009105205535888672,0,0,0,0
125,104.18.27.90,2025-04-04 10:19:08.816631,348.78184504418005,1.9873609404226782,264,115.8,717,235.2,0.08598780028374886,0.14272332191467285,0.27311092449371677,0.001569509506225586,0,0,0,0
126,104.18.27.90,2025-04-04 10:19:13.874551,2160.8359241496796,12.127241822902793,415,298.03225806451616,87,54.333333333333336,0.238899189969935,0.0011360645294189453,0.23544988000643774,0.0011184215545654297,0,0,0,0
127,104.18.27.90,2025-04-04 10:19:18.922550,5481.3132996927025,26.652731771493656,568,325.6,87,53.186440677966104,0.04294588081659361,0.0003695487976074219,0.04501933149020421,0.0011181831359863281,0,0,0,0
128,104.18.27.90,2025-04-04 10:19:24.052232,15060.720791572647,44.64052401664926,1324,547.3720930232558,191,55.197916666666664,0.0948218017663986,0.000293731689453125,0.10604581986124366,0.0005884170532226562,0,0,0,0
129,104.18.27.90,2025-04-04 10:19:29.342001,5383.567043504521,28.147815463663683,571,318.2837837837838,87,53.029411764705884,0.04227521838722427,0.0007457733154296875,0.05465884383996287,0.0003528594970703125,0,0,0,0
130,104.18.27.90,2025-04-04 10:19:34.589847,5630.421065347525,30.27322256571715,751,318.89473684210526,87,53.078947368421055,0.10712452544435143,0.0005788803100585938,0.1077297696367133,0.0005915164947509766,0,0,0,0
131,104.18.27.90,2025-04-04 10:19:39.688726,5583.418318970014,26.138857217479142,569,355.74285714285713,87,53.12903225806452,0.0433921544118637,0.0004017353057861328,0.04012602607796468,0.0004134178161621094,0,0,0,0
132,104.18.27.90,2025-04-04 10:19:45.344987,6047.742029973056,30.85785814226821,558,304.6818181818182,87,53.223880597014926,0.2604654306924617,0.00030541419982910156,0.2960139773979931,0.0005886554718017578,0,0,0,0
133,104.18.27.90,2025-04-04 10:19:50.704996,5134.5596787993845,23.858554170607015,711,356.921875,87,53.25,0.07262602876754129,0.0003502368927001953,0.0742627571469088,0.0003781318664550781,0,0,0,0
134,104.18.27.90,2025-04-04 10:19:55.912786,5810.832909604976,30.83883794387356,565,281.0869565217391,87,53.111111111111114,0.09571336957493362,0.00030684471130371094,0.10936030772066764,0.00042438507080078125,0,0,0,0
135,104.18.27.90,2025-04-04 10:20:01.170555,6636.499268822667,35.66944963834219,637,278.0421052631579,1324,83.24705882352941,0.07253120059649779,0.0003266334533691406,0.0753084144357359,0.0003573894500732422,0,0,0,0
136,104.18.27.90,2025-04-04 10:20:06.772455,5519.2935556599095,27.89720359005045,719,314.7435897435897,87,53.111111111111114,0.04274770471951016,0.00038623809814453125,0.034827277212846494,0.00041794776916503906,0,0,0,0
137,104.18.27.90,2025-04-04 10:20:11.878133,3091.3035782131738,16.70329992087396,414,278.6938775510204,87,54.0,0.10313663946458407,0.0003662109375,0.11744338389231053,0.0006363391876220703,0,0,0,0
138,104.18.27.90,2025-04-04 10:20:32.488640,514.3259384861625,2.780140208033311,264,124.66666666666667,751,230.25,0.17821401309922905,0.0005896091461181641,0.18790413571617948,0.00038623809814453125,0,0,0,0
139,104.18.27.90,2025-04-04 10:20:37.584715,923.5854424200123,5.950937128994925,402,241.125,87,57.0,0.3990926689398272,0.001066446304321289,0.47832119446716714,0.0013709068298339844,0,0,0,0
140,104.18.27.90,2025-04-04 10:20:42.747661,5691.591352957557,30.235273674537755,565,303.5487804878049,87,53.17142857142857,0.07740738886479107,0.0003867149353027344,0.08004240239649117,0.0005958080291748047,0,0,0,0
141,104.18.27.90,2025-04-04 10:20:47.838986,5630.29577545639,30.343980191089074,568,275.7692307692308,87,53.12903225806452,0.10688806993844156,0.0002982616424560547,0.12232919759919475,0.0005204677581787109,0,0,0,0
142,104.18.27.90,2025-04-04 10:20:53.074266,5126.593059063867,27.420248910926464,557,292.97402597402595,87,53.14754098360656,0.04174087874580099,0.00034332275390625,0.040011155679547564,0.0006113052368164062,0,0,0,0
143,104.18.27.90,2025-04-04 10:20:58.181540,6331.907521795725,34.41362198079421,1324,291.63157894736844,87,52.8974358974359,0.08992970317393821,0.00035572052001953125,0.09715204311088242,0.0005671977996826172,0,0,0,0
144,104.18.27.90,2025-04-04 10:21:03.365516,5377.954204395348,30.783370939889913,426,267.1931818181818,87,53.223880597014926,0.05033516110421967,0.0003256797790527344,0.05785652227339773,0.00047278404235839844,0,0,0,0
